카테고리목록,언급횟수
생활용품>생활잡화,229
자동차용품>세차/관리용품,228
침구/커튼/장식소품>조명/전구,228
PC부품/주변기기/저장장치>PC주변기기,226
장난감/완구>블록,226
생활/건강>청소용품,225
화장품/미용>뷰티소품,225
생활/욕실/수납용품>청소용품,224
생활/수납/청소/욕실>휴지통/청소용품,224
문방구/사무/종이>필기구,222
애완/곤충/관상어용품>애견하우스/이동장,221
악기/취미>모형/프라모델/피규어,220
반려동물용품>강아지패션용품,220
조명/인테리어>조명/스탠드,220
강아지 용품>외출용품,220
생활·주방>건강·성인용품,218
유아동도서>유아,217
스포츠>캠핑용품,217
공구/안전/산업용품>산업기기,217
도서/교육/음반>유아,216
도서/교육/음반>아동,216
북마켓>아동,216
출산/육아>교재/서적,216
자동차>자동차 관리용품,216
문구/사무>업소/판촉/포장,216
도서음반/e교육>유아,216
주방용품>주방정리용품,215
향수/바디/헤어/미용>뷰티소품/미용재료,214
디지털/가전>PC액세서리,213
홈인테리어/조명>인테리어조명/방등,212
쥬얼리/시계>귀걸이/피어싱,211
주얼리>귀걸이,211
휴대폰 액세서리>휴대폰 보호필름,208
생활/건강>화방용품,208
스마트폰/액세서리/웨어러블>보호필름/강화유리,208
문구/사무용품>필기구,205
스포츠/레져>구기스포츠,205
사무기기/사무용지>사무기기,205
침구/커튼>커버류,204
주방/수입주방>찻잔/물병/컵,204
수납가구>소품 수납정리함,203
게임기/타이틀>레이저복합기-무한,202
문구/사무>복사용지/전산용지,198
완구>블록,197
꽃/이벤트용품>조경/원예용품/화분장식,197
문구/사무용품>수첩/메모지,197
공구/포장재/안전용품>박스/포장재,196
디자인/문구/사무용품>메모지/접착식메모지,194
PC부품/주변기기>PC 주변용품,194
생활/욕실/수납용품>목욕용품/소품,194
취미/수집/파티용품>종교용품,193
조명/인테리어>홈갤러리/액자,192
슈즈>트렌드 여성화,191
침구/커튼>이불,189
생활/수납/청소/욕실>수건/욕조/욕실소품,189
생활/욕실/수납용품>다용도정리함/바구니,188
디자인/문구/사무용품>사무용지,186
신발>여성화,186
컴퓨터부품/주변기기>소모품/액세서리,185
구기/라켓>구기 스포츠,184
문구/사무용품>보드/게시판,184
침구/커튼/장식소품>홈데코,183
주방/수입주방>주방 일회용품,183
화장품/향수>네일케어,183
패션잡화>모자,183
패션의류>여성언더웨어/잠옷,182
수납정리용품>선반/수납용품,182
가전·컴퓨터>노트북·데스크탑,182
주방용품>수저/포크,180
사무기기/사무용지>전용지,179
생활/욕실/수납용품>세탁용품,179
문구/사무>화방/제도,179
반려/애완용품>고양이용품,178
주방/생활/이미용가전>전기용품,178
꽃/원예/원예용품>원예용품,178
사무/오피스용품>사무포장/접착용품,178
자동차용품>세차용품,176
생활/건강>욕실용품,176
생활/수납/청소/욕실>욕실수납/발판/비데,175
공구/안전/산업용품>농기계/농기구,174
가방/잡화>패션 잡화/소품,174
브랜드 잡화>여성화,174
DIY/시공/원예/꽃배달>원예용품/화분장식/흙,173
생활/욕실/수납용품>생활잡화,173
주방용품>수저/양식기,172
욕실용품>욕실소품/잡화,171
자전거/보드/기타레저>자전거용품,170
장난감/완구>유아동퍼즐,168
장난감/교육완구/인형>퍼즐,168
바디/헤어>헤어스타일링,168
자동차>자동차 실내용품,166
장난감>작동완구,163
주방용품>홈메이드제조기,163
휘트니스/수영>헬스용품,162
공구/포장재/안전용품>원예공구/예초기,161
여성의류>마담의류,161
문구/사무>학용품/지도/보드,161
문구/사무용품>사무용품,160
디자인/문구/사무용품>펜/매직/마카,160
패션의류>여성의류,159
사무/오피스용품>사무비품,159
공구/포장재/안전용품>측정공구,158
스포츠/레져>캠핑,156
장난감>블록/게임완구,156
언더웨어>테마속옷,155
악기/취미>수집용품,155
브랜드 주얼리>브랜드 여성주얼리,154
스포츠/레져>헬스/요가,152
취미/수집/파티용품>취미/DIY,152
육아용품>생활용품,152
완구/취미>STEAM/학습완구,152
애완/곤충/관상어용품>고양이하우스/장난감,152
공구/안전/산업용품>안전설비,151
신발>스니커즈/슬립온,151
주방용품>주방일회용품,151
생활/욕실/수납용품>테이프크리너/청소도구,151
도서·교육·취미>음반·DVD,149
애완/곤충/관상어용품>장난감/훈련용품,149
음반/DVD>CD/LP,149
도서/교육/음반>음반,149
도서/음반/DVD>음반,149
생활/건강>음반,149
북마켓>음반,149
브랜드 신발/가방/잡화>여성화,149
도서/음반>음반,149
가구/홈데코>패브릭소품/커버,149
디자인/문구/사무용품>택배포장용품,148
반려동물/애완용품>강아지 장난감/훈련,148
강아지 용품>장난감/훈련용품,148
캠핑/낚시>캠핑,148
반려동물용품>강아지 장난감/훈련,148
남성의류>스포츠/아웃도어,147
조명>조명,145
주방용품>솥/찜기/뚝배기,145
생필품>일회용품,144
주방용품>커피용품,144
브랜드패션>패션소품,144
조명/인테리어>장식소품,144
공구>측정용공구,144
주방용품>조리기구,144
여성의류>언더웨어,142
주방/수입주방>압력솥/찜기,142
반려동물용품>고양이간식,142
가방/잡화>여행가방/캐리어,141
안전/보안용품>안전시설용품,139
골프>필드용품,139
자동차용품>자동차DIY용품,138
언더웨어/잠옷>브랜드 언더웨어,137
패션잡화>여행용가방/소품,137
주방용품/수입주방>업소용 식기자재,137
침구/커튼>홈패션/수예용품,136
PC주변기기>멀티탭,135
침구/커튼>카페트/러그,135
건강/의료용품>일반의료용품,134
여성가방>숄더백,134
전기/산업자재>포장용품,134
생활용품>건강용품,133
가공식품>조미료/양념,133
쥬얼리/시계>헤어 액세서리,133
패션잡화>헤어액세서리,133
스포츠의류/운동화>스포츠남성의류,132
악기/취미>종교용품,132
빅사이즈/시니어의류>남성트레이닝복,132
스포츠의류/잡화>트레이닝복세트,132
주방용품>와인용품,130
공구/안전/산업용품>건전지/충전지,130
자동차용품>카인테리어용품,130
욕실용품>욕실수납,130
시계/쥬얼리/선글라스>헤어액세서리,129
도서/음반/DVD>잡지,129
디자인/문구/사무용품>보드/게시판,129
자동차용품>자동차램프,128
스포츠의류/운동화>스포츠보호용품,128
문구/사무용품>복사용지,127
반려/애완용품>고양이 사료/간식/영양제,127
여성가방>토트백,127
생활/수납/청소/욕실>선반/서랍장/수납,127
스포츠/레져>등산,126
주방용품/수입주방>후라이팬류,126
애완/곤충/관상어용품>애견패션소품,126
주방/수입주방>후라이팬/요리팬,126
생활용품>샤워기/수전용품,126
스포츠/레저>캠핑,125
수입명품>패션소품/잡화,125
출산/육아>이유식용품,123
구기/라켓/수영/스키>축구,122
문구/사무용품>파일/바인더,122
생활용품>가정생활잡화,121
자전거/헬스/스포츠>축구용품/의류,121
도서·교육·취미>키덜트,120
반려동물용품>하우스/안전용품,120
생활용품>조명/전기용품,119
강아지용품>장난감,119
문구/사무용품>보드/칠판,119
가방/잡화>백팩/캐쥬얼가방,118
생활/수납/청소/욕실>리빙박스/정리함,118
스포츠의류/운동화>스포츠잡화,117
키덜트/악기/취미>키덜트,117
장난감>블록,116
반려동물용품>강아지미용용품,116
주방가전>커피메이커,114
주방/수입주방>홈베이킹용품,113
장난감/교육완구/인형>블록,113
장난감/교육완구/인형>블럭,113
생활/수납/청소/욕실>생활잡화,113
가구/홈데코>수선/수예도구,113
강아지 용품>하우스/실내용품,113
문구/사무용품>붓,112
가공식품>조미료/소스/설탕,112
애완/곤충/관상어용품>고양이간식/식기,112
남성의류>캐주얼 바지/팬츠,112
가전/디지털>냉장고/밥솥/주방가전,111
침구/커튼>침구,111
등산/아웃도어>등산잡화/배낭,110
반려동물용품>강아지의류/패션,110
강아지 용품>의류/패션잡화,109
침구/커튼/카페트>홈수예/뜨개실/원단,109
공구/철물/산업/안전>엔진톱/펌프/농축수산업,109
반려동물/애완용품>고양이 장난감/캣타워,109
식품·건강>밀가루·오일·소스·장류,109
구기/라켓/스포츠>축구,109
가구/인테리어>수예,109
스포츠/레저>축구,109
생활/수납/청소/욕실>빨래/건조대/다리미,109
문방구/사무/종이>노트류,108
화장품/향수>뷰티소품/미용재료,108
디자인/문구/사무용품>노트/수첩,108
취미>모형/프라모델,108
가구/인테리어>침구단품,108
반려동물/애완용품>애완 패션용품,108
스포츠>자전거·킥보드·인라인,107
장난감/교육완구/인형>모형/프라모델,107
가전·컴퓨터>주방가전,106
쥬얼리/시계/선글라스>팔찌/발찌,106
가구/홈데코>침구,105
가방/잡화>모자,105
문구/사무용품>노트,105
건강/의료용품>실버/의료용품,105
꽃/이벤트용품>원예/식물,104
출산/유아용품/임부복>이유식용품,104
구두/여성화/남성화>부츠/레인부츠,104
출산/육아>유아안전용품,104
악기/취미/프라모델>미술용품,104
주방용품>수저/커트러리,104
악기/취미/프라모델>모형/프라모델,104
사무/오피스용품>보드/칠판/광고,103
가공식품>냉동/간편조리식품,103
